latitude,longitude,quarter,year,sum_etage_hors_sol,sum_nombre_logement,nombre_logement_per_population,avg_annee_construction,sum_superficie_terrain,area,area_per_population,population,dwellings,dwellings_per_population,households,households_per_population,averagehouseholdsize,averageage,averagesizeofcensusfamilies,workers,workers_per_population,caserne_count,incendie_count,sum_superficie_batiment,superficie_batiment_per_population,incendie_count_last_100,incendie_count_last_300,alarm_incendie_count_last_100,total_crimes_last_100,vols_count_last_100,mefait_count_last_100,vol_de_vehicule_count_last_100,introduction_count_last_100,infractions_entrainant_count_last_100
45.4,-73.96,2,2017,0,0,0,1900,2732,1.57174,0.0044651704545454543,352,162,0.46022727272727271,149,0.42329545454545453,2.3,42,2.7,100,0.28409090909090912,0,0,831,2.3607954545454546,0,0,1,0,0,0,0,0,0
45.4,-73.96,3,2019,0,0,0,1900,2732,1.57174,0.0044651704545454543,352,162,0.46022727272727271,149,0.42329545454545453,2.3,42,2.7,100,0.28409090909090912,0,0,831,2.3607954545454546,0,0,0,0,0,0,0,0,0
45.41,-73.95,1,2015,728,730,2.3248407643312103,1949.98,253537,0.21093,0.000671751592356688,314,7,0.022292993630573247,0,0,0,91.6,0,0,0,0,0,80990,257.9299363057325,0,0,0,0,0,0,0,0,0
45.41,-73.95,2,2015,728,730,2.3248407643312103,1949.98,253537,0.21093,0.000671751592356688,314,7,0.022292993630573247,0,0,0,91.6,0,0,0,0,0,80990,257.9299363057325,0,0,2,5,1,1,1,1,0
45.41,-73.95,3,2015,728,730,2.3248407643312103,1949.98,253537,0.21093,0.000671751592356688,314,7,0.022292993630573247,0,0,0,91.6,0,0,0,0,0,80990,257.9299363057325,0,0,3,7,1,2,1,1,0
45.41,-73.95,4,2015,728,730,2.3248407643312103,1949.98,253537,0.21093,0.000671751592356688,314,7,0.022292993630573247,0,0,0,91.6,0,0,0,0,0,80990,257.9299363057325,0,0,1,7,0,1,2,2,0
45.41,-73.95,1,2016,728,730,2.3248407643312103,1949.98,253537,0.21093,0.000671751592356688,314,7,0.022292993630573247,0,0,0,91.6,0,0,0,0,1,80990,257.9299363057325,1,1,0,3,0,2,0,1,0
45.41,-73.95,2,2016,728,730,2.3248407643312103,1949.98,253537,0.21093,0.000671751592356688,314,7,0.022292993630573247,0,0,0,91.6,0,0,0,0,0,80990,257.9299363057325,1,1,4,2,0,2,0,0,0
45.41,-73.95,3,2016,728,730,2.3248407643312103,1949.98,253537,0.21093,0.000671751592356688,314,7,0.022292993630573247,0,0,0,91.6,0,0,0,0,0,80990,257.9299363057325,0,1,2,4,0,1,0,2,0
45.41,-73.95,4,2016,728,730,2.3248407643312103,1949.98,253537,0.21093,0.000671751592356688,314,7,0.022292993630573247,0,0,0,91.6,0,0,0,0,0,80990,257.9299363057325,0,1,0,3,1,0,0,2,0
